Year,Coastal-No. of vessels,Coastal-GRT,Coastal-Average GRT,Overseas-No. of vessels,Overseas-GRT,Overseas-Average GRT,Total-No. of vessels,Total-GRT,Total-Average GRT
1947,48,119,2.5,11,73,6.6,59,192,3.3
1951,79,217,2.7,24,174,7.2,103,391,3.8
1952,88,255,2.9,23,169,7.3,111,424,3.8
1953,98,257,7.6,25,178,7.1,123,435,3.5
1954,101,286,2.8,25,179,7.2,126,465,3.7
1955,92,221,2.4,33,255,7.7,125,476,3.8
1956,85,247,2.9,39,270,6.9,124,517,4.2
1957,85,267,3.1,46,310,6.7,131,577,4.4
1958,85,259,3.0,58,389,6.7,143,648,4.5
1959,95,307,3.2,64,437,6.8,159,744,4.7
1960,98,315,3.2,74,529,7.1,172,844,5.3
1961,104,362,3.5,70,539,7.7,174,901,5.2
1962,107,395,3.7,80,629,7.9,187,1024,5.5
1963,107,383,3.6,98,833,8.5,205,1216,5.9
1964,114,412,3.6,105,963,9.2,219,1375,6.3
1965,101,338,3.3,116,1122,9.7,217,1460,6.7
1966,95,330,3.5,136,1462,10.7,231,1792,7.8
1967,82,282,3.4,150,1593,10.6,232,1875,8.1
1968,75,276,3.7,169,1746,10.3,244,2022,8.3
1969,70,252,3.6,184,2001,10.9,254,2253,8.9
1970,69,250,3.6,181,2147,11.9,250,2397,9.6
1971,62,218,3.5,193,2282,11.8,255,2500,9.8
1972,59,201,3.4,199,2416,12.1,258,2617,10.1
1973,56,220,3.9,209,2734,13.1,265,2954,11.1
1974,61,279,4.6,232,3357,14.5,293,3636,12.4
1975,70,371,5.3,260,4093,15.7,330,4464,13.5
1976,80,442,5.5,279,4673,16.7,359,5115,14.2
1977,75,428,5.7,296,4926,16.6,371,5354,14.4
1978,72,399,5.5,312,5181,16.5,384,5580,14.5
1979,57,255,4.5,323,5374,16.6,380,5629,14.8
1980,58,253,4.4,325,5426,16.7,383,5679,14.8
1981,65,300,4.6,338,5589,16.5,403,5889,14.6
1982,68,338,5.0,339,5707,16.8,407,6045,14.9
1983,72,337,4.7,333,5755,17.3,405,6092,15.0
1984,96,355,3.7,337,6020,17.9,433,6375,14.7
1985,95,296,3.1,273,5654,20.7,368,5950,16.2
1986,116,382,3.3,243,5097,21.0,359,5479,15.3
1987,127,438,3.4,235,5031,21.4,362,5469,15.1
1988,138,443,3.2,240,5150,21.5,378,5593,14.8
1989,151,477,3.2,254,5445,21.4,405,5922,14.6
1990,162,523,3.2,256,5504,21.5,418,6027,14.4
1991,169,561,3.3,246,5378,21.9,415,5939,14.3
1992,187,640,3.4,254,5648,22.2,441,6288,14.3
1993,202,642,3.2,241,5625,23.3,443,6267,14.1
1994,206,681,3.3,231,5665,23.9,437,6346,14.5
1995,219,698,3.2,251,6304,25.1,470,7002,14.9
1996,231,705,3.0,253,6347,25.1,484,7052,14.6
1997,232,654,2.8,244,6224,25.5,476,6878,14.4
1998,247,654,2.6,237,6131,25.9,484,6785,14.0
1999,269,680,2.5,241,6373,26.4,510,7053,13.8
2000,312,709,2.3,237,6244,26.3,549,6953,12.7
2001,329,731,2.2,228,6237,27.4,557,6968,12.5
2002,424,805,1.9,193,5402,28.0,617,6207,10.1
2003,429,806,1.8,196,5817,29.7,625,6623,10.6
2004,454,808,1.8,215,6893,32.1,669,7701,11.5
2005,485,816,1.7,236,7427,31.5,721,8243,11.4
2006,526,841,1.6,250,7576,30.3,776,8417,10.8
2007,573,893,1.6,277,8136,29.4,850,9029,10.6
2008,616,964,1.6,296,8346,28.2,912,9310,10.2
2009,662,980,1.5,312,8499,27.2,974,9479,9.7
2010,700,1013,1.4,340,9152,26.9,1040,10165,9.7
2011,750,1048,1.4,372,10013,26.9,1122,11061,9.9
2012,804,1086,1.4,350,9331,26.7,1154,10417,9.0
2013,835,1135,1.4,364,9248,25.0,1199,10383,8.7
2014,846,1218,1.4,358,9090,25.0,1204,10309,8.6
2015,873,1502,1.7,373,9006,24.1,1246,10508,8.4
2016,898,1518,1.7,403,9907,24.6,1301,11425,8.8
2017,928,1469,1.6,443,10883,24.6,1371,12352,9.0
2018,944,1479,1.6,456,11204,24.6,1400,12683,9.1
2019,972,1480,1.5,457,11266,24.7,1429,12746,8.9
2020,998,1673,1.7,465,11338,24.4,1463,13011,8.9
